# Time-averaged data for fix aveIp
# TimeStep c_Ip
13910000 0.296272
13920000 0.294909
13930000 0.293891
13940000 0.292267
13950000 0.29119
13960000 0.289053
13970000 0.287278
13980000 0.285908
13990000 0.284378
14000000 0.282959
14010000 0.281368
14020000 0.279538
14030000 0.277709
14040000 0.276468
14050000 0.273944
14060000 0.272526
14070000 0.271186
14080000 0.268986
14090000 0.267754
14100000 0.266219
14110000 0.263462
14120000 0.261911
14130000 0.259842
14140000 0.258443
14150000 0.25699
14160000 0.254227
14170000 0.253159
14180000 0.25112
14190000 0.24927
14200000 0.247191
14210000 0.245189
14220000 0.242765
14230000 0.241336
14240000 0.239745
14250000 0.237348
14260000 0.235404
14270000 0.233115
14280000 0.231306
14290000 0.228817
14300000 0.226391
14310000 0.225103
14320000 0.223365
14330000 0.220829
